url,Filing Date,Accepted,Documents,address,companyName,cik_num,irs_num,MA-I Indivual
http://www.sec.gov/Archives/edgar/data/799698/0000000000-20-006265-index.htm,2020-07-13,2020-07-13 08:33:35,2,"['Mailing Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n', 'Business Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n310-826-5648\n']",CYTRX CORP ,0000799698,581642750,
http://www.sec.gov/Archives/edgar/data/799698/0000000000-20-006320-index.htm,2020-07-13,2020-07-13 15:55:14,2,"['Mailing Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n', 'Business Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n310-826-5648\n']",CYTRX CORP ,0000799698,581642750,
http://www.sec.gov/Archives/edgar/data/1593899/0000000000-20-006512-index.htm,2020-07-16,2020-07-16 17:26:11,2,"['Mailing Address\n      125 SUMMER STREET\n16TH FLOOR\n\nBOSTON MA 02110      \n', 'Business Address\n      125 SUMMER STREET\n16TH FLOOR\n\nBOSTON MA 02110      \n857-204-8109\n']","Atea Pharmaceuticals, Inc. ",0001593899,460574869,
http://www.sec.gov/Archives/edgar/data/799698/0000000000-20-006670-index.htm,2020-07-22,2020-07-22 16:12:57,2,"['Mailing Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n', 'Business Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n310-826-5648\n']",CYTRX CORP ,0000799698,581642750,
http://www.sec.gov/Archives/edgar/data/799698/0000000000-20-007052-index.htm,2020-07-31,2020-07-31 19:59:27,2,"['Mailing Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n', 'Business Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n310-826-5648\n']",CYTRX CORP ,0000799698,581642750,
http://www.sec.gov/Archives/edgar/data/799698/0000000000-20-007377-index.htm,2020-08-12,2020-08-12 19:30:04,2,"['Mailing Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n', 'Business Address\n      11726 SAN VICENTE BOULEVARD\nSUITE 650\n\nLOS ANGELES CA 90049      \n310-826-5648\n']",CYTRX CORP ,0000799698,581642750,
http://www.sec.gov/Archives/edgar/data/1760764/0000000000-20-007444-index.htm,2020-08-13,2020-08-13 18:25:18,2,"['Mailing Address\n      5 OPPENHEIMER ST.\n\nREHOVOT L3 7670105      \n', 'Business Address\n      5 OPPENHEIMER ST.\n\nREHOVOT L3 7670105      \n972-89584777\n']",G Medical Innovations Holdings Ltd. ,0001760764,000000000,
http://www.sec.gov/Archives/edgar/data/1604477/0000000000-20-007584-index.htm,2020-08-18,2020-08-18 12:42:20,2,"['Mailing Address\n      200 ARSENAL YARDS BLVD., STE. 210\n\nWATERTOWN MA 02472      \n', 'Business Address\n      200 ARSENAL YARDS BLVD., STE. 210\n\nWATERTOWN MA 02472      \n617-898-8824\n']",SQZ Biotechnologies Co ,0001604477,462431115,
http://www.sec.gov/Archives/edgar/data/1816007/0000000000-20-007968-index.htm,2020-08-25,2020-08-25 14:12:00,2,"['Mailing Address\n      NO. 1333 LUJIAZUI RING ROAD 15/F\nPUDONG NEW DISTRICT\n\nSHANGHAI F4 200120      \n', 'Business Address\n      NO. 1333 LUJIAZUI RING ROAD 15/F\nPUDONG NEW DISTRICT\n\nSHANGHAI F4 200120      \n86-2138632121\n']",Lufax Holding Ltd ,0001816007,000000000,
http://www.sec.gov/Archives/edgar/data/7084/0000000000-20-007987-index.htm,2020-08-25,2020-08-25 15:57:00,2,"['Mailing Address\n      77 W. WACKER DR.\n\nCHICAGO IL 60601      \n', 'Business Address\n      77 W. WACKER DR.\n\nCHICAGO IL 60601      \n312-634-8233\n']",Archer-Daniels-Midland Co ,0000007084,410129150,
